country_name,sex,age_group,age_categories,year,unemployment_rate
Canada,Male,25+ (Adults),Adults,2014,6.236
Canada,Male,Under 15 (Children),Children,2014,7.488
Central African Republic,Female,15-24 (Youth),Youth,2014,11.557
Central African Republic,Female,25+ (Adults),Adults,2014,4.54
Central African Republic,Female,Under 15 (Children),Children,2014,6.767
Central African Republic,Male,15-24 (Youth),Youth,2014,9.49
Central African Republic,Male,25+ (Adults),Adults,2014,3.406
Central African Republic,Male,Under 15 (Children),Children,2014,5.078
Chad,Female,15-24 (Youth),Youth,2014,0.591
Chad,Female,25+ (Adults),Adults,2014,0.583
Chad,Female,Under 15 (Children),Children,2014,0.585
Chad,Male,15-24 (Youth),Youth,2014,1.946
Chad,Male,25+ (Adults),Adults,2014,0.838
Chad,Male,Under 15 (Children),Children,2014,1.093
Channel Islands,Female,15-24 (Youth),Youth,2014,19.492
Channel Islands,Female,25+ (Adults),Adults,2014,6.921
Channel Islands,Female,Under 15 (Children),Children,2014,8.458
Channel Islands,Male,15-24 (Youth),Youth,2014,21.165
Channel Islands,Male,25+ (Adults),Adults,2014,6.622
Channel Islands,Male,Under 15 (Children),Children,2014,8.272
Chile,Female,15-24 (Youth),Youth,2014,19.864
Chile,Female,25+ (Adults),Adults,2014,5.337
Chile,Female,Under 15 (Children),Children,2014,7.11
Chile,Male,15-24 (Youth),Youth,2014,14.981
Chile,Male,25+ (Adults),Adults,2014,5.174
Chile,Male,Under 15 (Children),Children,2014,6.33
China,Female,15-24 (Youth),Youth,2014,9.397
China,Female,25+ (Adults),Adults,2014,3.211
China,Female,Under 15 (Children),Children,2014,4.018
China,Male,15-24 (Youth),Youth,2014,11.441
China,Male,25+ (Adults),Adults,2014,4.167
China,Male,Under 15 (Children),Children,2014,5.123
Colombia,Female,15-24 (Youth),Youth,2014,23.59
Colombia,Female,25+ (Adults),Adults,2014,8.592
Colombia,Female,Under 15 (Children),Children,2014,11.304
Colombia,Male,15-24 (Youth),Youth,2014,14.566
Colombia,Male,25+ (Adults),Adults,2014,5.221
Colombia,Male,Under 15 (Children),Children,2014,6.987
Comoros,Female,15-24 (Youth),Youth,2014,9.962
Comoros,Female,25+ (Adults),Adults,2014,4.676
Comoros,Female,Under 15 (Children),Children,2014,5.325
Comoros,Male,15-24 (Youth),Youth,2014,9.768
Comoros,Male,25+ (Adults),Adults,2014,3.803
Comoros,Male,Under 15 (Children),Children,2014,4.433
"Congo, Rep.",Female,15-24 (Youth),Youth,2014,39.528
"Congo, Rep.",Female,25+ (Adults),Adults,2014,16.201
"Congo, Rep.",Female,Under 15 (Children),Children,2014,20.988
"Congo, Rep.",Male,15-24 (Youth),Youth,2014,41.91
"Congo, Rep.",Male,25+ (Adults),Adults,2014,12.935
"Congo, Rep.",Male,Under 15 (Children),Children,2014,18.457
"Congo, Dem. Rep.",Female,15-24 (Youth),Youth,2014,6.467
"Congo, Dem. Rep.",Female,25+ (Adults),Adults,2014,2.737
"Congo, Dem. Rep.",Female,Under 15 (Children),Children,2014,3.562
"Congo, Dem. Rep.",Male,15-24 (Youth),Youth,2014,10.628
"Congo, Dem. Rep.",Male,25+ (Adults),Adults,2014,4.106
"Congo, Dem. Rep.",Male,Under 15 (Children),Children,2014,5.227
Costa Rica,Female,15-24 (Youth),Youth,2014,29.622
Costa Rica,Female,25+ (Adults),Adults,2014,6.799
Costa Rica,Female,Under 15 (Children),Children,2014,10.515
Costa Rica,Male,15-24 (Youth),Youth,2014,20.825
Costa Rica,Male,25+ (Adults),Adults,2014,4.411
Costa Rica,Male,Under 15 (Children),Children,2014,7.16
Croatia,Female,15-24 (Youth),Youth,2014,46.396
Croatia,Female,25+ (Adults),Adults,2014,15.894
Croatia,Female,Under 15 (Children),Children,2014,18.268
Croatia,Male,15-24 (Youth),Youth,2014,44.938
Croatia,Male,25+ (Adults),Adults,2014,13.466
Croatia,Male,Under 15 (Children),Children,2014,16.448
Cuba,Female,15-24 (Youth),Youth,2014,6.583
Cuba,Female,25+ (Adults),Adults,2014,2.672
Cuba,Female,Under 15 (Children),Children,2014,3.14
Cuba,Male,15-24 (Youth),Youth,2014,6.615
Cuba,Male,25+ (Adults),Adults,2014,1.876
Cuba,Male,Under 15 (Children),Children,2014,2.431
Cyprus,Female,15-24 (Youth),Youth,2014,34.344
Cyprus,Female,25+ (Adults),Adults,2014,12.883
Cyprus,Female,Under 15 (Children),Children,2014,15.227
Cyprus,Male,15-24 (Youth),Youth,2014,36.617
Cyprus,Male,25+ (Adults),Adults,2014,14.852
Cyprus,Male,Under 15 (Children),Children,2014,17.172
Czechia,Female,15-24 (Youth),Youth,2014,17.091
Czechia,Female,25+ (Adults),Adults,2014,6.77
Czechia,Female,Under 15 (Children),Children,2014,7.394
Czechia,Male,15-24 (Youth),Youth,2014,15.044
Czechia,Male,25+ (Adults),Adults,2014,4.323
Czechia,Male,Under 15 (Children),Children,2014,5.103
Cote d'Ivoire,Female,15-24 (Youth),Youth,2014,5.741
Cote d'Ivoire,Female,25+ (Adults),Adults,2014,3.304
Cote d'Ivoire,Female,Under 15 (Children),Children,2014,3.94
Cote d'Ivoire,Male,15-24 (Youth),Youth,2014,3.753
Cote d'Ivoire,Male,25+ (Adults),Adults,2014,2.358
Cote d'Ivoire,Male,Under 15 (Children),Children,2014,2.691
Denmark,Female,15-24 (Youth),Youth,2014,12.847
Denmark,Female,25+ (Adults),Adults,2014,6.107
Denmark,Female,Under 15 (Children),Children,2014,7.147
Denmark,Male,15-24 (Youth),Youth,2014,15.516
Denmark,Male,25+ (Adults),Adults,2014,5.284
Denmark,Male,Under 15 (Children),Children,2014,6.736
Djibouti,Female,15-24 (Youth),Youth,2014,74.485
Djibouti,Female,25+ (Adults),Adults,2014,26.756
Djibouti,Female,Under 15 (Children),Children,2014,36.384
Djibouti,Male,15-24 (Youth),Youth,2014,72.377
Djibouti,Male,25+ (Adults),Adults,2014,15.562
Djibouti,Male,Under 15 (Children),Children,2014,22.374
Dominican Republic,Female,15-24 (Youth),Youth,2014,20.876
Dominican Republic,Female,25+ (Adults),Adults,2014,7.491
Dominican Republic,Female,Under 15 (Children),Children,2014,9.766
Dominican Republic,Male,15-24 (Youth),Youth,2014,9.326
Dominican Republic,Male,25+ (Adults),Adults,2014,3.806
Dominican Republic,Male,Under 15 (Children),Children,2014,4.868
Ecuador,Female,15-24 (Youth),Youth,2014,11.886
Ecuador,Female,25+ (Adults),Adults,2014,2.738
Ecuador,Female,Under 15 (Children),Children,2014,4.141
Ecuador,Male,15-24 (Youth),Youth,2014,7.529
Ecuador,Male,25+ (Adults),Adults,2014,2.093
Ecuador,Male,Under 15 (Children),Children,2014,3.068
"Egypt, Arab Rep.",Female,15-24 (Youth),Youth,2014,45.236
"Egypt, Arab Rep.",Female,25+ (Adults),Adults,2014,17.684
"Egypt, Arab Rep.",Female,Under 15 (Children),Children,2014,23.935
"Egypt, Arab Rep.",Male,15-24 (Youth),Youth,2014,27.159
"Egypt, Arab Rep.",Male,25+ (Adults),Adults,2014,5.778
"Egypt, Arab Rep.",Male,Under 15 (Children),Children,2014,9.704
El Salvador,Female,15-24 (Youth),Youth,2014,9.106
El Salvador,Female,25+ (Adults),Adults,2014,1.854
El Salvador,Female,Under 15 (Children),Children,2014,3.132
El Salvador,Male,15-24 (Youth),Youth,2014,9.831
El Salvador,Male,25+ (Adults),Adults,2014,3.232
El Salvador,Male,Under 15 (Children),Children,2014,4.877
Equatorial Guinea,Female,15-24 (Youth),Youth,2014,17.057
Equatorial Guinea,Female,25+ (Adults),Adults,2014,7.568
Equatorial Guinea,Female,Under 15 (Children),Children,2014,9.226
Equatorial Guinea,Male,15-24 (Youth),Youth,2014,14.453
Equatorial Guinea,Male,25+ (Adults),Adults,2014,6.006
Equatorial Guinea,Male,Under 15 (Children),Children,2014,7.224
Estonia,Female,15-24 (Youth),Youth,2014,9.971
Estonia,Female,25+ (Adults),Adults,2014,6.539
Estonia,Female,Under 15 (Children),Children,2014,6.808
Estonia,Male,15-24 (Youth),Youth,2014,19.191
Estonia,Male,25+ (Adults),Adults,2014,6.78
Estonia,Male,Under 15 (Children),Children,2014,7.857
Eswatini,Female,15-24 (Youth),Youth,2014,51.195
Eswatini,Female,25+ (Adults),Adults,2014,19.909
Eswatini,Female,Under 15 (Children),Children,2014,25.827
Eswatini,Male,15-24 (Youth),Youth,2014,46.579
Eswatini,Male,25+ (Adults),Adults,2014,17.062
Eswatini,Male,Under 15 (Children),Children,2014,21.96
Ethiopia,Female,15-24 (Youth),Youth,2014,4.685
Ethiopia,Female,25+ (Adults),Adults,2014,2.264
Ethiopia,Female,Under 15 (Children),Children,2014,3.093
Ethiopia,Male,15-24 (Youth),Youth,2014,2.695
Ethiopia,Male,25+ (Adults),Adults,2014,1.224
Ethiopia,Male,Under 15 (Children),Children,2014,1.713
Fiji,Female,15-24 (Youth),Youth,2014,18.954
Fiji,Female,25+ (Adults),Adults,2014,2.204
Fiji,Female,Under 15 (Children),Children,2014,5.129
Fiji,Male,15-24 (Youth),Youth,2014,11.714
Fiji,Male,25+ (Adults),Adults,2014,2.4
Fiji,Male,Under 15 (Children),Children,2014,3.897
Finland,Female,15-24 (Youth),Youth,2014,18.274
Finland,Female,25+ (Adults),Adults,2014,6.411
Finland,Female,Under 15 (Children),Children,2014,7.946
Finland,Male,15-24 (Youth),Youth,2014,22.552
Finland,Male,25+ (Adults),Adults,2014,7.469
Finland,Male,Under 15 (Children),Children,2014,9.325
France,Female,15-24 (Youth),Youth,2014,24.067
France,Female,25+ (Adults),Adults,2014,8.752
France,Female,Under 15 (Children),Children,2014,10.006
France,Male,15-24 (Youth),Youth,2014,25.558
France,Male,25+ (Adults),Adults,2014,8.944
France,Male,Under 15 (Children),Children,2014,10.515
French Polynesia,Female,15-24 (Youth),Youth,2014,39.103
French Polynesia,Female,25+ (Adults),Adults,2014,7.913
French Polynesia,Female,Under 15 (Children),Children,2014,12.76
French Polynesia,Male,15-24 (Youth),Youth,2014,32.356
French Polynesia,Male,25+ (Adults),Adults,2014,7.129
French Polynesia,Male,Under 15 (Children),Children,2014,10.965
Gabon,Female,15-24 (Youth),Youth,2014,41.588
Gabon,Female,25+ (Adults),Adults,2014,26.326
Gabon,Female,Under 15 (Children),Children,2014,28.103
Gabon,Male,15-24 (Youth),Youth,2014,30.679
Gabon,Male,25+ (Adults),Adults,2014,12.316
Gabon,Male,Under 15 (Children),Children,2014,14.186
"Gambia, The",Female,15-24 (Youth),Youth,2014,14.205
"Gambia, The",Female,25+ (Adults),Adults,2014,8.349
"Gambia, The",Female,Under 15 (Children),Children,2014,9.867
"Gambia, The",Male,15-24 (Youth),Youth,2014,10.505
"Gambia, The",Male,25+ (Adults),Adults,2014,5.686
"Gambia, The",Male,Under 15 (Children),Children,2014,6.859
Georgia,Female,15-24 (Youth),Youth,2014,33.075
Georgia,Female,25+ (Adults),Adults,2014,12.956
Georgia,Female,Under 15 (Children),Children,2014,14.48
Georgia,Male,15-24 (Youth),Youth,2014,40.408
Georgia,Male,25+ (Adults),Adults,2014,16.987
Georgia,Male,Under 15 (Children),Children,2014,19.93
Germany,Female,15-24 (Youth),Youth,2014,7.039
Germany,Female,25+ (Adults),Adults,2014,4.354
Germany,Female,Under 15 (Children),Children,2014,4.631
Germany,Male,15-24 (Youth),Youth,2014,8.323
Germany,Male,25+ (Adults),Adults,2014,4.925
Germany,Male,Under 15 (Children),Children,2014,5.281
Ghana,Female,15-24 (Youth),Youth,2014,9.309
Ghana,Female,25+ (Adults),Adults,2014,3.215
Ghana,Female,Under 15 (Children),Children,2014,4.396
Ghana,Male,15-24 (Youth),Youth,2014,9.38
Ghana,Male,25+ (Adults),Adults,2014,3.118
Ghana,Male,Under 15 (Children),Children,2014,4.378
Greece,Female,15-24 (Youth),Youth,2014,58.952
Greece,Female,25+ (Adults),Adults,2014,28.475
Greece,Female,Under 15 (Children),Children,2014,30.523
Greece,Male,15-24 (Youth),Youth,2014,47.591
Greece,Male,25+ (Adults),Adults,2014,22.08
Greece,Male,Under 15 (Children),Children,2014,23.74
Guam,Female,15-24 (Youth),Youth,2014,18.262
Guam,Female,25+ (Adults),Adults,2014,4.759
Guam,Female,Under 15 (Children),Children,2014,7.195
Guam,Male,15-24 (Youth),Youth,2014,17.594
Guam,Male,25+ (Adults),Adults,2014,6.169
Guam,Male,Under 15 (Children),Children,2014,7.927
Guatemala,Female,15-24 (Youth),Youth,2014,8.302
Guatemala,Female,25+ (Adults),Adults,2014,1.578
Guatemala,Female,Under 15 (Children),Children,2014,3.395
Guatemala,Male,15-24 (Youth),Youth,2014,4.55
Guatemala,Male,25+ (Adults),Adults,2014,1.443
Guatemala,Male,Under 15 (Children),Children,2014,2.377
